scheme_code,nav_date,nav_value
120123,2022-01-03,74.2433
120123,2022-01-04,73.8346
120123,2022-01-05,72.778
120123,2022-01-06,72.1053
120123,2022-01-07,71.2427
120123,2022-01-10,71.3766
120123,2022-01-11,71.8639
120123,2022-01-12,72.5981
120123,2022-01-13,73.3452
120123,2022-01-14,73.9864
120123,2022-01-17,73.8475
120123,2022-01-18,73.3722
120123,2022-01-19,72.1939
120123,2022-01-20,73.1017
120123,2022-01-21,72.9881
120123,2022-01-24,72.6884
120123,2022-01-25,73.6673
120123,2022-01-26,72.9722
120123,2022-01-27,73.6748
120123,2022-01-28,73.9451
120123,2022-01-31,73.135
120123,2022-02-01,73.1033
120123,2022-02-02,73.9194
120123,2022-02-03,74.599
120123,2022-02-04,75.8667
120123,2022-02-07,76.1799
120123,2022-02-08,79.0905
120123,2022-02-09,78.3251
120123,2022-02-10,78.0136
120123,2022-02-11,77.9926
120123,2022-02-14,76.8156
120123,2022-02-15,77.7326
120123,2022-02-16,78.5404
120123,2022-02-17,78.5883
120123,2022-02-18,78.1589
120123,2022-02-21,76.9148
120123,2022-02-22,76.2804
120123,2022-02-23,76.9378
120123,2022-02-24,76.7892
120123,2022-02-25,76.46
120123,2022-02-28,76.9137
120123,2022-03-01,77.931
120123,2022-03-02,78.183
120123,2022-03-03,78.4854
120123,2022-03-04,79.7106
120123,2022-03-07,79.8966
120123,2022-03-08,79.6571
120123,2022-03-09,80.2812
120123,2022-03-10,80.0869
120123,2022-03-11,79.7955
120123,2022-03-14,80.9537
120123,2022-03-15,80.7265
120123,2022-03-16,78.4342
120123,2022-03-17,78.7643
120123,2022-03-18,78.4538
120123,2022-03-21,78.2359
120123,2022-03-22,78.6582
120123,2022-03-23,78.546
120123,2022-03-24,78.7634
120123,2022-03-25,77.0615
120123,2022-03-28,76.2967
120123,2022-03-29,77.5151
120123,2022-03-30,77.5303
120123,2022-03-31,76.1466
120123,2022-04-01,75.2836
120123,2022-04-04,74.4959
120123,2022-04-05,74.6097
120123,2022-04-06,74.2852
120123,2022-04-07,73.778
120123,2022-04-08,73.8107
120123,2022-04-11,74.2293
120123,2022-04-12,74.0477
120123,2022-04-13,73.6105
120123,2022-04-14,73.2993
120123,2022-04-15,73.6033
120123,2022-04-18,73.6268
120123,2022-04-19,74.2805
120123,2022-04-20,73.3763
120123,2022-04-21,72.7823
120123,2022-04-22,73.4332
120123,2022-04-25,72.8175
120123,2022-04-26,73.9642
120123,2022-04-27,75.1464
120123,2022-04-28,76.3367
