amc_name,quarter,aum_crores
SBI MF,Q1 2022,1116019.8
HDFC MF,Q1 2022,686950.71
ICICI Prudential,Q1 2022,723266.5
Nippon India,Q1 2022,507311.68
Kotak,Q1 2022,488859.38
Axis,Q1 2022,418817.91
Aditya Birla Sun Life,Q1 2022,392680.9
UTI,Q1 2022,307464.45
Mirae Asset,Q1 2022,295092.01
DSP MF,Q1 2022,254459.97
SBI MF,Q2 2022,1131753.06
HDFC MF,Q2 2022,685868.0
ICICI Prudential,Q2 2022,740231.66
Nippon India,Q2 2022,516562.47
Kotak,Q2 2022,492488.87
Axis,Q2 2022,433630.87
Aditya Birla Sun Life,Q2 2022,398855.79
UTI,Q2 2022,319559.51
Mirae Asset,Q2 2022,293404.44
DSP MF,Q2 2022,258078.23
SBI MF,Q3 2022,1143854.46
HDFC MF,Q3 2022,698206.32
ICICI Prudential,Q3 2022,753405.17
Nippon India,Q3 2022,528690.02
Kotak,Q3 2022,501111.96
Axis,Q3 2022,438511.36
Aditya Birla Sun Life,Q3 2022,405369.45
UTI,Q3 2022,317958.39
Mirae Asset,Q3 2022,301821.22
DSP MF,Q3 2022,255477.26
SBI MF,Q4 2022,1159696.33
HDFC MF,Q4 2022,716915.4
ICICI Prudential,Q4 2022,764808.69
Nippon India,Q4 2022,539656.9
Kotak,Q4 2022,501587.39
Axis,Q4 2022,445078.64
Aditya Birla Sun Life,Q4 2022,414959.19
UTI,Q4 2022,323937.14
Mirae Asset,Q4 2022,301775.38
DSP MF,Q4 2022,260231.36
SBI MF,Q1 2023,1183078.82
HDFC MF,Q1 2023,715067.4
ICICI Prudential,Q1 2023,766535.56
Nippon India,Q1 2023,546704.17
Kotak,Q1 2023,511638.62
Axis,Q1 2023,453222.63
Aditya Birla Sun Life,Q1 2023,414901.9
UTI,Q1 2023,325623.31
Mirae Asset,Q1 2023,308590.08
DSP MF,Q1 2023,269474.12
SBI MF,Q2 2023,1189613.69
HDFC MF,Q2 2023,728748.54
ICICI Prudential,Q2 2023,782256.08
Nippon India,Q2 2023,547649.74
Kotak,Q2 2023,522219.47
Axis,Q2 2023,452583.49
Aditya Birla Sun Life,Q2 2023,424663.99
UTI,Q2 2023,335279.26
Mirae Asset,Q2 2023,309567.48
DSP MF,Q2 2023,269146.02
SBI MF,Q3 2023,1214257.16
HDFC MF,Q3 2023,750925.66
ICICI Prudential,Q3 2023,791097.37
Nippon India,Q3 2023,562694.23
Kotak,Q3 2023,523758.96
Axis,Q3 2023,462315.97
Aditya Birla Sun Life,Q3 2023,421963.24
UTI,Q3 2023,335141.53
Mirae Asset,Q3 2023,315700.97
DSP MF,Q3 2023,275802.74
SBI MF,Q4 2023,1237679.2
HDFC MF,Q4 2023,752939.96
ICICI Prudential,Q4 2023,807767.31
Nippon India,Q4 2023,566059.63
Kotak,Q4 2023,534432.8
Axis,Q4 2023,472321.44
Aditya Birla Sun Life,Q4 2023,433161.99
UTI,Q4 2023,346736.57
Mirae Asset,Q4 2023,321150.28
DSP MF,Q4 2023,274022.55
SBI MF,Q1 2024,1264428.06
HDFC MF,Q1 2024,774065.85
ICICI Prudential,Q1 2024,808582.65
Nippon India,Q1 2024,573805.63
Kotak,Q1 2024,538907.59
Axis,Q1 2024,478761.01
Aditya Birla Sun Life,Q1 2024,443469.32
UTI,Q1 2024,344482.24
Mirae Asset,Q1 2024,328677.46
DSP MF,Q1 2024,282006.28
SBI MF,Q2 2024,1254090.24
HDFC MF,Q2 2024,774072.13
ICICI Prudential,Q2 2024,813233.77
Nippon India,Q2 2024,587107.63
Kotak,Q2 2024,540182.86
Axis,Q2 2024,483501.13
Aditya Birla Sun Life,Q2 2024,449757.82
UTI,Q2 2024,349428.76
Mirae Asset,Q2 2024,332512.59
DSP MF,Q2 2024,285366.69
SBI MF,Q3 2024,1301851.93
HDFC MF,Q3 2024,791482.25
ICICI Prudential,Q3 2024,835799.34
Nippon India,Q3 2024,595560.3
Kotak,Q3 2024,549509.04
Axis,Q3 2024,483537.1
Aditya Birla Sun Life,Q3 2024,454462.42
UTI,Q3 2024,354344.74
Mirae Asset,Q3 2024,338738.39
DSP MF,Q3 2024,290588.67
SBI MF,Q4 2024,1301352.51
HDFC MF,Q4 2024,792309.92
ICICI Prudential,Q4 2024,834788.3
Nippon India,Q4 2024,590483.2
Kotak,Q4 2024,560499.76
Axis,Q4 2024,495723.04
Aditya Birla Sun Life,Q4 2024,456672.65
UTI,Q4 2024,362245.68
Mirae Asset,Q4 2024,337725.67
DSP MF,Q4 2024,289927.12
SBI MF,Q1 2025,1336469.12
HDFC MF,Q1 2025,796124.94
ICICI Prudential,Q1 2025,849135.22
Nippon India,Q1 2025,608471.51
Kotak,Q1 2025,569096.04
Axis,Q1 2025,495354.57
Aditya Birla Sun Life,Q1 2025,467915.05
UTI,Q1 2025,368458.28
Mirae Asset,Q1 2025,341867.86
DSP MF,Q1 2025,298859.65
SBI MF,Q2 2025,1325108.49
HDFC MF,Q2 2025,815256.91
ICICI Prudential,Q2 2025,871335.12
Nippon India,Q2 2025,619399.97
Kotak,Q2 2025,574316.03
Axis,Q2 2025,499440.18
Aditya Birla Sun Life,Q2 2025,468783.08
UTI,Q2 2025,376129.14
Mirae Asset,Q2 2025,349440.82
DSP MF,Q2 2025,300766.2
SBI MF,Q3 2025,1347136.54
HDFC MF,Q3 2025,828369.33
ICICI Prudential,Q3 2025,883109.04
Nippon India,Q3 2025,617745.55
Kotak,Q3 2025,579485.57
Axis,Q3 2025,510060.07
Aditya Birla Sun Life,Q3 2025,472401.4
UTI,Q3 2025,376370.31
Mirae Asset,Q3 2025,348832.85
DSP MF,Q3 2025,302521.57
SBI MF,Q4 2025,1381133.23
HDFC MF,Q4 2025,834366.55
ICICI Prudential,Q4 2025,895706.53
Nippon India,Q4 2025,630495.33
Kotak,Q4 2025,588470.93
Axis,Q4 2025,513470.96
Aditya Birla Sun Life,Q4 2025,481868.81
UTI,Q4 2025,379462.75
Mirae Asset,Q4 2025,360413.97
DSP MF,Q4 2025,304622.52
