month_year,sip_inflow_cr,active_accounts_crore
2022-01,11553,13.26
2022-02,12040,13.53
2022-03,12444,13.8
2022-04,12638,14.07
2022-05,13170,14.34
2022-06,13566,14.61
2022-07,14070,14.88
2022-08,14432,15.15
2022-09,14729,15.42
2022-10,15058,15.69
2022-11,15473,15.96
2022-12,15949,16.23
2023-01,16416,16.5
2023-02,16711,16.77
2023-03,17134,17.04
2023-04,17731,17.31
2023-05,18039,17.58
2023-06,18544,17.85
2023-07,18890,18.12
2023-08,19418,18.39
2023-09,19775,18.66
2023-10,20065,18.93
2023-11,20438,19.2
2023-12,20987,19.47
2024-01,21388,19.74
2024-02,21736,20.01
2024-03,22253,20.28
2024-04,22507,20.55
2024-05,22878,20.82
2024-06,23265,21.09
2024-07,23873,21.36
2024-08,24342,21.63
2024-09,24638,21.9
2024-10,25090,22.17
2024-11,25396,22.44
2024-12,25904,22.71
2025-01,26333,22.98
2025-02,26562,23.25
2025-03,27036,23.52
2025-04,27401,23.79
2025-05,27762,24.06
2025-06,28242,24.33
2025-07,28849,24.6
2025-08,29056,24.87
2025-09,29484,25.14
2025-10,29965,25.41
2025-11,30217,25.68
2025-12,31002,26.12
