month,category,net_inflow_cr
2024-04,Large Cap,1957.64
2024-04,Mid Cap,1457.18
2024-04,Small Cap,1009.84
2024-04,ELSS,4350.72
2024-04,Flexi Cap,5020.48
2024-04,Liquid,5646.59
2024-04,Gilt,4072.48
2024-04,Multi Cap,2625.42
2024-05,Large Cap,3322.48
2024-05,Mid Cap,4316.9
2024-05,Small Cap,4778.02
2024-05,ELSS,4369.05
2024-05,Flexi Cap,6271.42
2024-05,Liquid,5001.25
2024-05,Gilt,5003.73
2024-05,Multi Cap,5418.83
2024-06,Large Cap,3262.27
2024-06,Mid Cap,2083.68
2024-06,Small Cap,5397.43
2024-06,ELSS,3285.08
2024-06,Flexi Cap,4143.06
2024-06,Liquid,3077.55
2024-06,Gilt,2876.35
2024-06,Multi Cap,4527.56
2024-07,Large Cap,4492.06
2024-07,Mid Cap,2354.14
2024-07,Small Cap,1633.91
2024-07,ELSS,1287.95
2024-07,Flexi Cap,1182.67
2024-07,Liquid,5406.2
2024-07,Gilt,2216.9
2024-07,Multi Cap,4571.25
2024-08,Large Cap,2224.55
2024-08,Mid Cap,4500.54
2024-08,Small Cap,6404.85
2024-08,ELSS,895.74
2024-08,Flexi Cap,4422.54
2024-08,Liquid,2195.5
2024-08,Gilt,997.36
2024-08,Multi Cap,973.86
2024-09,Large Cap,2729.98
2024-09,Mid Cap,3743.67
2024-09,Small Cap,4383.76
2024-09,ELSS,3905.17
2024-09,Flexi Cap,5887.73
2024-09,Liquid,1421.2
2024-09,Gilt,5474.04
2024-09,Multi Cap,3669.36
2024-10,Large Cap,5663.38
2024-10,Mid Cap,3059.98
2024-10,Small Cap,3390.8
2024-10,ELSS,3033.9
2024-10,Flexi Cap,1078.8
2024-10,Liquid,1370.04
2024-10,Gilt,3605.18
2024-10,Multi Cap,3699.25
2024-11,Large Cap,3306.79
2024-11,Mid Cap,577.07
2024-11,Small Cap,3533.46
2024-11,ELSS,1302.35
2024-11,Flexi Cap,3898.24
2024-11,Liquid,2229.64
2024-11,Gilt,6448.99
2024-11,Multi Cap,2655.49
2024-12,Large Cap,5424.84
2024-12,Mid Cap,1973.57
2024-12,Small Cap,1636.91
2024-12,ELSS,1826.53
2024-12,Flexi Cap,2498.7
2024-12,Liquid,5593.2
2024-12,Gilt,5083.76
2024-12,Multi Cap,3112.57
2025-01,Large Cap,1628.54
2025-01,Mid Cap,792.24
2025-01,Small Cap,4211.25
2025-01,ELSS,4740.51
2025-01,Flexi Cap,4136.83
2025-01,Liquid,3507.53
2025-01,Gilt,6337.18
2025-01,Multi Cap,647.98
2025-02,Large Cap,6430.45
2025-02,Mid Cap,2157.89
2025-02,Small Cap,2798.87
2025-02,ELSS,5015.2
2025-02,Flexi Cap,1862.69
2025-02,Liquid,4759.1
2025-02,Gilt,2495.31
2025-02,Multi Cap,6143.35
2025-03,Large Cap,1530.24
2025-03,Mid Cap,6090.7
2025-03,Small Cap,5246.44
2025-03,ELSS,1521.42
2025-03,Flexi Cap,2825.78
2025-03,Liquid,1125.78
2025-03,Gilt,4098.32
2025-03,Multi Cap,6263.17
