scheme_code,scheme_name,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,std_dev
120123,SBI MF Large Cap Direct Growth,9.73,13.84,18.54,1.45,1.69,3.79,0.87,12.6,16.45
120246,HDFC MF Mid Cap Direct Growth,14.57,18.71,13.71,1.37,2.07,2.35,0.92,18.64,11.29
120369,ICICI Prudential Small Cap Direct Growth,16.26,13.88,15.78,1.34,2.25,4.5,0.95,10.33,16.95
120492,Nippon India ELSS Direct Growth,11.39,17.36,16.72,1.22,2.77,4.11,0.94,14.21,10.74
120615,Kotak Flexi Cap Direct Growth,20.6,11.92,14.11,1.06,1.22,4.77,1.11,16.76,17.02
120738,Axis Liquid Direct Growth,18.96,18.54,19.62,0.97,1.2,1.43,0.92,21.25,16.96
120861,Aditya Birla Sun Life Gilt Direct Growth,20.62,15.44,19.09,1.13,2.12,4.41,0.79,20.24,15.82
120984,UTI Multi Cap Direct Growth,16.77,11.69,18.06,1.43,2.39,1.36,0.98,14.26,13.44
121107,Mirae Asset Large Cap Direct Growth,16.52,12.36,19.98,1.77,1.25,1.54,0.83,11.36,13.94
121230,DSP MF Mid Cap Direct Growth,16.82,12.6,20.29,1.92,2.21,2.39,1.11,12.41,12.55
121353,SBI MF Small Cap Direct Growth,13.97,11.53,12.99,1.47,2.64,5.25,1.06,13.66,12.48
121476,HDFC MF ELSS Direct Growth,11.84,16.92,16.36,1.46,1.65,3.7,0.99,20.25,16.09
121599,ICICI Prudential Flexi Cap Direct Growth,13.61,15.17,14.42,1.07,1.29,1.35,0.92,21.43,14.3
121722,Nippon India Liquid Direct Growth,20.0,15.37,15.58,1.01,1.62,5.19,0.95,10.86,15.31
121845,Kotak Gilt Direct Growth,14.78,20.1,13.24,1.53,2.5,4.87,0.91,18.37,17.73
121968,Axis Multi Cap Direct Growth,18.14,19.93,17.09,1.88,2.75,4.26,0.81,9.15,16.5
122091,Aditya Birla Sun Life Large Cap Direct Growth,12.5,20.63,14.07,2.03,2.51,4.99,0.84,20.3,14.7
122214,UTI Mid Cap Direct Growth,9.8,21.24,14.06,1.13,2.33,3.71,1.11,12.3,10.33
122337,Mirae Asset Small Cap Direct Growth,23.92,14.44,13.8,2.13,2.09,1.84,1.08,21.24,17.05
122460,DSP MF ELSS Direct Growth,11.58,11.58,15.47,1.31,1.81,4.64,0.75,17.45,17.88
122583,SBI MF Flexi Cap Direct Growth,14.69,16.34,17.52,1.22,2.36,2.07,0.78,19.22,11.41
122706,HDFC MF Liquid Direct Growth,19.84,20.58,12.87,1.77,2.23,3.88,0.87,8.64,10.79
122829,ICICI Prudential Gilt Direct Growth,12.73,15.47,19.84,1.74,1.15,5.15,1.04,14.9,13.7
122952,Nippon India Multi Cap Direct Growth,22.96,17.05,16.52,1.86,2.14,2.27,1.15,11.93,15.47
123075,Kotak Large Cap Direct Growth,16.09,12.34,20.17,1.29,2.25,4.37,0.91,11.65,10.47
123198,Axis Mid Cap Direct Growth,23.25,17.4,18.23,1.46,1.51,5.48,1.14,20.04,17.33
123321,Aditya Birla Sun Life Small Cap Direct Growth,17.41,15.05,15.25,2.06,2.78,3.09,0.99,19.27,15.62
123444,UTI ELSS Direct Growth,21.98,17.69,17.16,1.34,1.23,1.44,0.81,8.81,14.28
123567,Mirae Asset Flexi Cap Direct Growth,14.76,11.29,12.68,1.53,2.06,1.36,1.02,9.76,13.96
123690,DSP MF Liquid Direct Growth,10.96,11.43,14.2,1.45,2.4,2.34,1.02,20.08,12.16
123813,SBI MF Gilt Direct Growth,16.59,15.5,12.72,1.36,1.76,3.87,1.1,17.41,12.84
123936,HDFC MF Multi Cap Direct Growth,15.46,20.76,17.61,1.36,2.15,3.97,0.94,20.12,16.5
124059,ICICI Prudential Large Cap Direct Growth,16.63,21.54,20.13,2.11,1.49,1.64,1.0,18.19,12.46
124182,Nippon India Mid Cap Direct Growth,16.83,18.13,16.21,1.55,1.23,5.47,0.9,10.87,13.84
124305,Kotak Small Cap Direct Growth,13.42,15.31,17.0,1.21,2.27,3.06,0.78,20.42,13.82
124428,Axis ELSS Direct Growth,22.81,15.19,16.84,1.99,1.91,3.92,0.85,11.33,14.34
124551,Aditya Birla Sun Life Flexi Cap Direct Growth,18.0,18.21,18.65,2.05,1.52,3.86,0.93,9.25,13.63
124674,UTI Liquid Direct Growth,20.76,11.87,17.35,1.38,2.24,4.73,0.97,12.26,10.72
124797,Mirae Asset Gilt Direct Growth,12.97,15.01,17.63,1.35,1.8,2.45,0.9,11.72,15.87
124920,DSP MF Multi Cap Direct Growth,23.74,19.08,13.09,1.67,2.33,4.55,1.06,15.12,12.1
