txn_id,investor_id,scheme_code,state,city_tier,investor_age,income_bracket,txn_type,amount_inr,txn_date
TXN-000001,INV-00002,120246,Tamil Nadu,Tier 3,62,5-12L,SIP,47285,2022-01-04
TXN-000002,INV-00003,120369,Delhi,Tier 1,41,25L+,Redemption,20192,2022-01-05
TXN-000003,INV-00004,120492,Gujarat,Tier 2,55,5-12L,Lumpsum,398574,2022-01-06
TXN-000004,INV-00005,120615,Uttar Pradesh,Tier 3,31,25L+,Lumpsum,196540,2022-01-07
TXN-000005,INV-00006,120738,West Bengal,Tier 1,55,25L+,SIP,31105,2022-01-10
TXN-000006,INV-00007,120861,Telangana,Tier 2,67,5-12L,Lumpsum,105910,2022-01-11
TXN-000007,INV-00008,120984,Rajasthan,Tier 3,41,5-12L,Lumpsum,28089,2022-01-12
TXN-000008,INV-00009,121107,Kerala,Tier 1,39,12-25L,SIP,15703,2022-01-13
TXN-000009,INV-00010,121230,Punjab,Tier 2,27,25L+,SIP,27599,2022-01-14
TXN-000010,INV-00011,121353,Haryana,Tier 3,43,25L+,SIP,36172,2022-01-17
TXN-000011,INV-00012,121476,Maharashtra,Tier 1,49,5-12L,Lumpsum,432609,2022-01-18
TXN-000012,INV-00013,121599,Karnataka,Tier 2,49,12-25L,SIP,43040,2022-01-19
TXN-000013,INV-00014,121722,Tamil Nadu,Tier 3,44,12-25L,Lumpsum,409437,2022-01-20
TXN-000014,INV-00015,121845,Delhi,Tier 1,49,25L+,SIP,25414,2022-01-21
TXN-000015,INV-00016,121968,Gujarat,Tier 2,43,12-25L,SIP,40797,2022-01-24
TXN-000016,INV-00017,122091,Uttar Pradesh,Tier 3,52,25L+,Redemption,30230,2022-01-25
TXN-000017,INV-00018,122214,West Bengal,Tier 1,28,5-12L,SIP,18398,2022-01-26
TXN-000018,INV-00019,122337,Telangana,Tier 2,35,5-12L,Lumpsum,449385,2022-01-27
TXN-000019,INV-00020,122460,Rajasthan,Tier 3,26,12-25L,SIP,6269,2022-01-28
TXN-000020,INV-00021,122583,Kerala,Tier 1,65,12-25L,SIP,5495,2022-01-31
TXN-000021,INV-00022,122706,Punjab,Tier 2,32,25L+,Redemption,25599,2022-02-01
TXN-000022,INV-00023,122829,Haryana,Tier 3,53,5-12L,SIP,37060,2022-02-02
TXN-000023,INV-00024,122952,Maharashtra,Tier 1,49,5-12L,Redemption,26760,2022-02-03
TXN-000024,INV-00025,123075,Karnataka,Tier 2,26,12-25L,SIP,4947,2022-02-04
TXN-000025,INV-00026,123198,Tamil Nadu,Tier 3,42,12-25L,SIP,49874,2022-02-07
TXN-000026,INV-00027,123321,Delhi,Tier 1,53,25L+,SIP,20190,2022-02-08
TXN-000027,INV-00028,123444,Gujarat,Tier 2,50,25L+,Lumpsum,374447,2022-02-09
TXN-000028,INV-00029,123567,Uttar Pradesh,Tier 3,60,12-25L,SIP,34835,2022-02-10
TXN-000029,INV-00030,123690,West Bengal,Tier 1,34,25L+,SIP,39911,2022-02-11
TXN-000030,INV-00031,123813,Telangana,Tier 2,44,12-25L,Lumpsum,243211,2022-02-14
TXN-000031,INV-00032,123936,Rajasthan,Tier 3,61,5-12L,SIP,20921,2022-02-15
TXN-000032,INV-00033,124059,Kerala,Tier 1,41,5-12L,Lumpsum,204317,2022-02-16
TXN-000033,INV-00034,124182,Punjab,Tier 2,41,5-12L,SIP,31292,2022-02-17
TXN-000034,INV-00035,124305,Haryana,Tier 3,56,5-12L,Lumpsum,138488,2022-02-18
TXN-000035,INV-00036,124428,Maharashtra,Tier 1,42,5-12L,SIP,7069,2022-02-21
TXN-000036,INV-00037,124551,Karnataka,Tier 2,65,25L+,SIP,30175,2022-02-22
TXN-000037,INV-00038,124674,Tamil Nadu,Tier 3,35,25L+,SIP,12653,2022-02-23
TXN-000038,INV-00039,124797,Delhi,Tier 1,66,12-25L,SIP,47006,2022-02-24
TXN-000039,INV-00040,124920,Gujarat,Tier 2,52,12-25L,Lumpsum,492003,2022-02-25
TXN-000040,INV-00041,120123,Uttar Pradesh,Tier 3,60,25L+,SIP,13240,2022-02-28
TXN-000041,INV-00042,120246,West Bengal,Tier 1,66,12-25L,SIP,22736,2022-03-01
TXN-000042,INV-00043,120369,Telangana,Tier 2,30,5-12L,SIP,12701,2022-03-02
TXN-000043,INV-00044,120492,Rajasthan,Tier 3,39,12-25L,Lumpsum,303747,2022-03-03
TXN-000044,INV-00045,120615,Kerala,Tier 1,67,12-25L,SIP,49609,2022-03-04
TXN-000045,INV-00046,120738,Punjab,Tier 2,67,12-25L,SIP,15838,2022-03-07
TXN-000046,INV-00047,120861,Haryana,Tier 3,38,12-25L,SIP,47064,2022-03-08
TXN-000047,INV-00048,120984,Maharashtra,Tier 1,54,12-25L,SIP,30485,2022-03-09
TXN-000048,INV-00049,121107,Karnataka,Tier 2,24,5-12L,Lumpsum,288391,2022-03-10
TXN-000049,INV-00050,121230,Tamil Nadu,Tier 3,57,12-25L,SIP,46826,2022-03-11
TXN-000050,INV-00051,121353,Delhi,Tier 1,59,5-12L,SIP,11839,2022-03-14
TXN-000051,INV-00052,121476,Gujarat,Tier 2,37,25L+,Lumpsum,228376,2022-03-15
TXN-000052,INV-00053,121599,Uttar Pradesh,Tier 3,31,12-25L,Lumpsum,173524,2022-03-16
TXN-000053,INV-00054,121722,West Bengal,Tier 1,52,25L+,SIP,23248,2022-03-17
TXN-000054,INV-00055,121845,Telangana,Tier 2,66,5-12L,SIP,19699,2022-03-18
TXN-000055,INV-00056,121968,Rajasthan,Tier 3,43,25L+,SIP,44673,2022-03-21
TXN-000056,INV-00057,122091,Kerala,Tier 1,55,5-12L,SIP,4895,2022-03-22
TXN-000057,INV-00058,122214,Punjab,Tier 2,65,25L+,Lumpsum,80367,2022-03-23
TXN-000058,INV-00059,122337,Haryana,Tier 3,61,12-25L,SIP,28222,2022-03-24
TXN-000059,INV-00060,122460,Maharashtra,Tier 1,31,12-25L,Redemption,5038,2022-03-25
TXN-000060,INV-00061,122583,Karnataka,Tier 2,63,5-12L,SIP,17660,2022-03-28
TXN-000061,INV-00062,122706,Tamil Nadu,Tier 3,32,12-25L,SIP,37094,2022-03-29
TXN-000062,INV-00063,122829,Delhi,Tier 1,52,25L+,SIP,15987,2022-03-30
TXN-000063,INV-00064,122952,Gujarat,Tier 2,62,5-12L,SIP,45751,2022-03-31
TXN-000064,INV-00065,123075,Uttar Pradesh,Tier 3,65,25L+,Redemption,4276,2022-04-01
TXN-000065,INV-00066,123198,West Bengal,Tier 1,34,12-25L,SIP,29430,2022-04-04
TXN-000066,INV-00067,123321,Telangana,Tier 2,65,5-12L,SIP,48060,2022-04-05
TXN-000067,INV-00068,123444,Rajasthan,Tier 3,49,12-25L,SIP,29002,2022-04-06
TXN-000068,INV-00069,123567,Kerala,Tier 1,27,25L+,SIP,15119,2022-04-07
TXN-000069,INV-00070,123690,Punjab,Tier 2,41,5-12L,SIP,31586,2022-04-08
TXN-000070,INV-00071,123813,Haryana,Tier 3,63,25L+,SIP,45509,2022-04-11
TXN-000071,INV-00072,123936,Maharashtra,Tier 1,48,5-12L,Lumpsum,342690,2022-04-12
TXN-000072,INV-00073,124059,Karnataka,Tier 2,61,25L+,SIP,41951,2022-04-13
TXN-000073,INV-00074,124182,Tamil Nadu,Tier 3,46,12-25L,SIP,15190,2022-04-14
TXN-000074,INV-00075,124305,Delhi,Tier 1,52,5-12L,SIP,27271,2022-04-15
TXN-000075,INV-00076,124428,Gujarat,Tier 2,52,25L+,SIP,25064,2022-04-18
TXN-000076,INV-00077,124551,Uttar Pradesh,Tier 3,37,12-25L,Lumpsum,309229,2022-04-19
TXN-000077,INV-00078,124674,West Bengal,Tier 1,50,12-25L,SIP,11953,2022-04-20
TXN-000078,INV-00079,124797,Telangana,Tier 2,39,5-12L,SIP,47602,2022-04-21
TXN-000079,INV-00080,124920,Rajasthan,Tier 3,44,12-25L,SIP,43586,2022-04-22
TXN-000080,INV-00081,120123,Kerala,Tier 1,34,5-12L,SIP,37122,2022-04-25
TXN-000081,INV-00082,120246,Punjab,Tier 2,34,5-12L,SIP,17648,2022-04-26
TXN-000082,INV-00083,120369,Haryana,Tier 3,39,25L+,SIP,12255,2022-04-27
TXN-000083,INV-00084,120492,Maharashtra,Tier 1,34,25L+,SIP,37870,2022-04-28
TXN-000084,INV-00085,120615,Karnataka,Tier 2,41,5-12L,Lumpsum,445455,2022-04-29
TXN-000085,INV-00086,120738,Tamil Nadu,Tier 3,42,12-25L,SIP,29764,2022-05-02
TXN-000086,INV-00087,120861,Delhi,Tier 1,43,5-12L,Redemption,25686,2022-05-03
TXN-000087,INV-00088,120984,Gujarat,Tier 2,33,12-25L,Lumpsum,156678,2022-05-04
TXN-000088,INV-00089,121107,Uttar Pradesh,Tier 3,28,5-12L,SIP,7358,2022-05-05
TXN-000089,INV-00090,121230,West Bengal,Tier 1,65,12-25L,SIP,33084,2022-05-06
TXN-000090,INV-00091,121353,Telangana,Tier 2,23,12-25L,Lumpsum,37926,2022-05-09
