scheme_code,scheme_name,stock_name,sector,weight_pct,market_val_cr
120123,SBI MF Large Cap Direct Growth,Reliance Industries,Financial Services,3.36,1161.64
120123,SBI MF Large Cap Direct Growth,HDFC Bank,IT & Technology,6.06,1197.07
120123,SBI MF Large Cap Direct Growth,ICICI Bank,Oil & Gas,5.11,628.29
120123,SBI MF Large Cap Direct Growth,Infosys,Consumer Goods,6.93,314.91
120123,SBI MF Large Cap Direct Growth,TCS,Telecommunication,9.13,392.98
120123,SBI MF Large Cap Direct Growth,Larsen & Toubro,Construction,4.21,300.56
120123,SBI MF Large Cap Direct Growth,Bharti Airtel,Financial Services,7.3,506.97
120123,SBI MF Large Cap Direct Growth,ITC,IT & Technology,6.45,623.48
120123,SBI MF Large Cap Direct Growth,Axis Bank,Oil & Gas,3.95,946.12
120123,SBI MF Large Cap Direct Growth,State Bank of India,Consumer Goods,4.63,245.76
120246,HDFC MF Mid Cap Direct Growth,Reliance Industries,Financial Services,5.46,1138.01
120246,HDFC MF Mid Cap Direct Growth,HDFC Bank,IT & Technology,5.3,842.8
120246,HDFC MF Mid Cap Direct Growth,ICICI Bank,Oil & Gas,8.06,918.9
120246,HDFC MF Mid Cap Direct Growth,Infosys,Consumer Goods,6.77,286.78
120246,HDFC MF Mid Cap Direct Growth,TCS,Telecommunication,9.22,974.52
120246,HDFC MF Mid Cap Direct Growth,Larsen & Toubro,Construction,9.32,696.17
120246,HDFC MF Mid Cap Direct Growth,Bharti Airtel,Financial Services,4.49,1108.9
120246,HDFC MF Mid Cap Direct Growth,ITC,IT & Technology,4.54,237.87
120246,HDFC MF Mid Cap Direct Growth,Axis Bank,Oil & Gas,3.18,170.99
120246,HDFC MF Mid Cap Direct Growth,State Bank of India,Consumer Goods,4.56,374.12
120369,ICICI Prudential Small Cap Direct Growth,Reliance Industries,Financial Services,8.93,526.53
120369,ICICI Prudential Small Cap Direct Growth,HDFC Bank,IT & Technology,3.3,981.52
120369,ICICI Prudential Small Cap Direct Growth,ICICI Bank,Oil & Gas,7.67,348.69
120369,ICICI Prudential Small Cap Direct Growth,Infosys,Consumer Goods,5.89,520.84
120369,ICICI Prudential Small Cap Direct Growth,TCS,Telecommunication,8.04,768.17
120369,ICICI Prudential Small Cap Direct Growth,Larsen & Toubro,Construction,4.21,977.51
120369,ICICI Prudential Small Cap Direct Growth,Bharti Airtel,Financial Services,6.77,1022.84
120369,ICICI Prudential Small Cap Direct Growth,ITC,IT & Technology,8.72,1034.07
120369,ICICI Prudential Small Cap Direct Growth,Axis Bank,Oil & Gas,4.04,1095.16
120369,ICICI Prudential Small Cap Direct Growth,State Bank of India,Consumer Goods,3.86,335.94
120492,Nippon India ELSS Direct Growth,Reliance Industries,Financial Services,8.45,999.32
120492,Nippon India ELSS Direct Growth,HDFC Bank,IT & Technology,5.62,333.48
120492,Nippon India ELSS Direct Growth,ICICI Bank,Oil & Gas,4.4,1172.74
120492,Nippon India ELSS Direct Growth,Infosys,Consumer Goods,3.45,536.09
120492,Nippon India ELSS Direct Growth,TCS,Telecommunication,7.12,962.75
120492,Nippon India ELSS Direct Growth,Larsen & Toubro,Construction,7.43,527.16
120492,Nippon India ELSS Direct Growth,Bharti Airtel,Financial Services,4.52,951.5
120492,Nippon India ELSS Direct Growth,ITC,IT & Technology,5.76,271.45
120492,Nippon India ELSS Direct Growth,Axis Bank,Oil & Gas,9.34,966.96
120492,Nippon India ELSS Direct Growth,State Bank of India,Consumer Goods,7.1,498.17
120615,Kotak Flexi Cap Direct Growth,Reliance Industries,Financial Services,8.35,400.53
120615,Kotak Flexi Cap Direct Growth,HDFC Bank,IT & Technology,3.3,552.59
120615,Kotak Flexi Cap Direct Growth,ICICI Bank,Oil & Gas,7.52,1141.48
120615,Kotak Flexi Cap Direct Growth,Infosys,Consumer Goods,4.7,230.45
120615,Kotak Flexi Cap Direct Growth,TCS,Telecommunication,4.55,930.97
120615,Kotak Flexi Cap Direct Growth,Larsen & Toubro,Construction,6.36,888.04
120615,Kotak Flexi Cap Direct Growth,Bharti Airtel,Financial Services,9.38,682.24
120615,Kotak Flexi Cap Direct Growth,ITC,IT & Technology,3.58,1066.62
120615,Kotak Flexi Cap Direct Growth,Axis Bank,Oil & Gas,3.75,572.88
120615,Kotak Flexi Cap Direct Growth,State Bank of India,Consumer Goods,9.4,526.25
120738,Axis Liquid Direct Growth,Reliance Industries,Financial Services,6.28,1175.39
120738,Axis Liquid Direct Growth,HDFC Bank,IT & Technology,6.42,1140.44
120738,Axis Liquid Direct Growth,ICICI Bank,Oil & Gas,5.11,256.1
120738,Axis Liquid Direct Growth,Infosys,Consumer Goods,5.23,1084.05
120738,Axis Liquid Direct Growth,TCS,Telecommunication,5.2,982.97
120738,Axis Liquid Direct Growth,Larsen & Toubro,Construction,5.05,1193.39
120738,Axis Liquid Direct Growth,Bharti Airtel,Financial Services,4.46,173.68
120738,Axis Liquid Direct Growth,ITC,IT & Technology,8.2,657.02
120738,Axis Liquid Direct Growth,Axis Bank,Oil & Gas,8.13,748.62
120738,Axis Liquid Direct Growth,State Bank of India,Consumer Goods,5.83,704.98
120861,Aditya Birla Sun Life Gilt Direct Growth,Reliance Industries,Financial Services,7.41,605.71
120861,Aditya Birla Sun Life Gilt Direct Growth,HDFC Bank,IT & Technology,7.72,297.2
120861,Aditya Birla Sun Life Gilt Direct Growth,ICICI Bank,Oil & Gas,7.43,815.17
120861,Aditya Birla Sun Life Gilt Direct Growth,Infosys,Consumer Goods,8.63,470.82
120861,Aditya Birla Sun Life Gilt Direct Growth,TCS,Telecommunication,4.75,865.82
120861,Aditya Birla Sun Life Gilt Direct Growth,Larsen & Toubro,Construction,4.27,1133.96
120861,Aditya Birla Sun Life Gilt Direct Growth,Bharti Airtel,Financial Services,7.64,901.98
120861,Aditya Birla Sun Life Gilt Direct Growth,ITC,IT & Technology,8.96,735.29
120861,Aditya Birla Sun Life Gilt Direct Growth,Axis Bank,Oil & Gas,9.17,440.51
120861,Aditya Birla Sun Life Gilt Direct Growth,State Bank of India,Consumer Goods,5.34,975.93
