scheme_code,scheme_name,alpha,beta
123198,Axis Mid Cap Direct Growth,5.48,1.14
124182,Nippon India Mid Cap Direct Growth,5.47,0.9
121353,SBI MF Small Cap Direct Growth,5.25,1.06
121722,Nippon India Liquid Direct Growth,5.19,0.95
122829,ICICI Prudential Gilt Direct Growth,5.15,1.04
122091,Aditya Birla Sun Life Large Cap Direct Growth,4.99,0.84
121845,Kotak Gilt Direct Growth,4.87,0.91
120615,Kotak Flexi Cap Direct Growth,4.77,1.11
124674,UTI Liquid Direct Growth,4.73,0.97
122460,DSP MF ELSS Direct Growth,4.64,0.75
124920,DSP MF Multi Cap Direct Growth,4.55,1.06
120369,ICICI Prudential Small Cap Direct Growth,4.5,0.95
120861,Aditya Birla Sun Life Gilt Direct Growth,4.41,0.79
123075,Kotak Large Cap Direct Growth,4.37,0.91
121968,Axis Multi Cap Direct Growth,4.26,0.81
120492,Nippon India ELSS Direct Growth,4.11,0.94
123936,HDFC MF Multi Cap Direct Growth,3.97,0.94
124428,Axis ELSS Direct Growth,3.92,0.85
122706,HDFC MF Liquid Direct Growth,3.88,0.87
123813,SBI MF Gilt Direct Growth,3.87,1.1
124551,Aditya Birla Sun Life Flexi Cap Direct Growth,3.86,0.93
120123,SBI MF Large Cap Direct Growth,3.79,0.87
122214,UTI Mid Cap Direct Growth,3.71,1.11
121476,HDFC MF ELSS Direct Growth,3.7,0.99
123321,Aditya Birla Sun Life Small Cap Direct Growth,3.09,0.99
124305,Kotak Small Cap Direct Growth,3.06,0.78
124797,Mirae Asset Gilt Direct Growth,2.45,0.9
121230,DSP MF Mid Cap Direct Growth,2.39,1.11
120246,HDFC MF Mid Cap Direct Growth,2.35,0.92
123690,DSP MF Liquid Direct Growth,2.34,1.02
122952,Nippon India Multi Cap Direct Growth,2.27,1.15
122583,SBI MF Flexi Cap Direct Growth,2.07,0.78
122337,Mirae Asset Small Cap Direct Growth,1.84,1.08
124059,ICICI Prudential Large Cap Direct Growth,1.64,1.0
121107,Mirae Asset Large Cap Direct Growth,1.54,0.83
123444,UTI ELSS Direct Growth,1.44,0.81
120738,Axis Liquid Direct Growth,1.43,0.92
120984,UTI Multi Cap Direct Growth,1.36,0.98
123567,Mirae Asset Flexi Cap Direct Growth,1.36,1.02
121599,ICICI Prudential Flexi Cap Direct Growth,1.35,0.92
