scheme_code,scheme_name,sharpe_ratio,sortino_ratio
122337,Mirae Asset Small Cap Direct Growth,2.13,2.09
124059,ICICI Prudential Large Cap Direct Growth,2.11,1.49
123321,Aditya Birla Sun Life Small Cap Direct Growth,2.06,2.78
124551,Aditya Birla Sun Life Flexi Cap Direct Growth,2.05,1.52
122091,Aditya Birla Sun Life Large Cap Direct Growth,2.03,2.51
124428,Axis ELSS Direct Growth,1.99,1.91
121230,DSP MF Mid Cap Direct Growth,1.92,2.21
121968,Axis Multi Cap Direct Growth,1.88,2.75
122952,Nippon India Multi Cap Direct Growth,1.86,2.14
122706,HDFC MF Liquid Direct Growth,1.77,2.23
121107,Mirae Asset Large Cap Direct Growth,1.77,1.25
122829,ICICI Prudential Gilt Direct Growth,1.74,1.15
124920,DSP MF Multi Cap Direct Growth,1.67,2.33
124182,Nippon India Mid Cap Direct Growth,1.55,1.23
121845,Kotak Gilt Direct Growth,1.53,2.5
123567,Mirae Asset Flexi Cap Direct Growth,1.53,2.06
121353,SBI MF Small Cap Direct Growth,1.47,2.64
121476,HDFC MF ELSS Direct Growth,1.46,1.65
123198,Axis Mid Cap Direct Growth,1.46,1.51
123690,DSP MF Liquid Direct Growth,1.45,2.4
120123,SBI MF Large Cap Direct Growth,1.45,1.69
120984,UTI Multi Cap Direct Growth,1.43,2.39
124674,UTI Liquid Direct Growth,1.38,2.24
120246,HDFC MF Mid Cap Direct Growth,1.37,2.07
123813,SBI MF Gilt Direct Growth,1.36,1.76
123936,HDFC MF Multi Cap Direct Growth,1.36,2.15
124797,Mirae Asset Gilt Direct Growth,1.35,1.8
123444,UTI ELSS Direct Growth,1.34,1.23
120369,ICICI Prudential Small Cap Direct Growth,1.34,2.25
122460,DSP MF ELSS Direct Growth,1.31,1.81
123075,Kotak Large Cap Direct Growth,1.29,2.25
120492,Nippon India ELSS Direct Growth,1.22,2.77
122583,SBI MF Flexi Cap Direct Growth,1.22,2.36
124305,Kotak Small Cap Direct Growth,1.21,2.27
120861,Aditya Birla Sun Life Gilt Direct Growth,1.13,2.12
122214,UTI Mid Cap Direct Growth,1.13,2.33
121599,ICICI Prudential Flexi Cap Direct Growth,1.07,1.29
120615,Kotak Flexi Cap Direct Growth,1.06,1.22
121722,Nippon India Liquid Direct Growth,1.01,1.62
120738,Axis Liquid Direct Growth,0.97,1.2
