scheme_code,scheme_name,max_drawdown,std_dev,var_95
120123,SBI MF Large Cap Direct Growth,12.6,16.45,27.06
120246,HDFC MF Mid Cap Direct Growth,18.64,11.29,18.57
120369,ICICI Prudential Small Cap Direct Growth,10.33,16.95,27.88
120492,Nippon India ELSS Direct Growth,14.21,10.74,17.67
120615,Kotak Flexi Cap Direct Growth,16.76,17.02,28.0
120738,Axis Liquid Direct Growth,21.25,16.96,27.9
120861,Aditya Birla Sun Life Gilt Direct Growth,20.24,15.82,26.02
120984,UTI Multi Cap Direct Growth,14.26,13.44,22.11
121107,Mirae Asset Large Cap Direct Growth,11.36,13.94,22.93
121230,DSP MF Mid Cap Direct Growth,12.41,12.55,20.64
121353,SBI MF Small Cap Direct Growth,13.66,12.48,20.53
121476,HDFC MF ELSS Direct Growth,20.25,16.09,26.47
121599,ICICI Prudential Flexi Cap Direct Growth,21.43,14.3,23.52
121722,Nippon India Liquid Direct Growth,10.86,15.31,25.18
121845,Kotak Gilt Direct Growth,18.37,17.73,29.17
121968,Axis Multi Cap Direct Growth,9.15,16.5,27.14
122091,Aditya Birla Sun Life Large Cap Direct Growth,20.3,14.7,24.18
122214,UTI Mid Cap Direct Growth,12.3,10.33,16.99
122337,Mirae Asset Small Cap Direct Growth,21.24,17.05,28.05
122460,DSP MF ELSS Direct Growth,17.45,17.88,29.41
122583,SBI MF Flexi Cap Direct Growth,19.22,11.41,18.77
122706,HDFC MF Liquid Direct Growth,8.64,10.79,17.75
122829,ICICI Prudential Gilt Direct Growth,14.9,13.7,22.54
122952,Nippon India Multi Cap Direct Growth,11.93,15.47,25.45
123075,Kotak Large Cap Direct Growth,11.65,10.47,17.22
123198,Axis Mid Cap Direct Growth,20.04,17.33,28.51
123321,Aditya Birla Sun Life Small Cap Direct Growth,19.27,15.62,25.69
123444,UTI ELSS Direct Growth,8.81,14.28,23.49
123567,Mirae Asset Flexi Cap Direct Growth,9.76,13.96,22.96
123690,DSP MF Liquid Direct Growth,20.08,12.16,20.0
123813,SBI MF Gilt Direct Growth,17.41,12.84,21.12
123936,HDFC MF Multi Cap Direct Growth,20.12,16.5,27.14
124059,ICICI Prudential Large Cap Direct Growth,18.19,12.46,20.5
124182,Nippon India Mid Cap Direct Growth,10.87,13.84,22.77
124305,Kotak Small Cap Direct Growth,20.42,13.82,22.73
124428,Axis ELSS Direct Growth,11.33,14.34,23.59
124551,Aditya Birla Sun Life Flexi Cap Direct Growth,9.25,13.63,22.42
124674,UTI Liquid Direct Growth,12.26,10.72,17.63
124797,Mirae Asset Gilt Direct Growth,11.72,15.87,26.11
124920,DSP MF Multi Cap Direct Growth,15.12,12.1,19.9
